date,temp_mean_all,surface_temp_mean_all,soil_temp_10_mean_all,soil_temp_20_mean_all,soil_temp_50_mean_all,relhum_mean_all,abshum_mean_all,dew_point_temp_mean_all,windspeed_mean,windspeed_az_mean,windspeed_el_mean,winddirection_mean,winddirection_az_mean_angle,winddirection_el_mean_angle,precipitation_sum_all,pressure_mean_all,pressure_reduced_mean_all,global_radiation_short_wave_mean,global_radiation_long_wave_mean,reflex_radiation_short_wave_mean,reflex_radiation_long_wave_mean,albedo_mean_all,net_solar_rad_mean,net_far_infrared_rad_mean,sky_temp_mean,ground_temp_mean,total_net_rad_mean,precipitation_sum_730,precipitation_sum_550,wind_u_mean,wind_v_mean,rgs_roof_global_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_corrected_mean,rgs_roof_global_radiation_long_wave_mean,rgs_roof_direct_radiation_mean,rgs_roof_direct_rad_perpendicular_mean,rgs_roof_sunshine_duration_sum
2019-08-31,21.727083333333333,21.822916666666668,20.21875,19.915277777777778,19.085416666666667,69.63125,12.452182803669904,14.895833333333334,1.1458333333333333,1.1236111111111111,0.30763888888888885,201.74829307863723,204.70915243483827,11.199841711954317,0.9,998.1590277777777,1012.9437499999999,199.60416666666666,372.9194711582997,34.25,421.5444711582997,0.1711452441716459,286.1309523809524,-48.625,11.386908154095675,20.19415898034049,116.72916666666667,0.9,0.9,0.4245653578036764,1.0642735948668527,,,,,,,
2019-09-01,16.94097222222222,16.17013888888889,19.288194444444443,19.554166666666667,19.025694444444444,72.2173611111111,10.353567364690644,11.709027777777777,2.011111111111111,2.0694444444444446,0.38958333333333334,277.3262200576404,274.85027469587897,15.53770665993615,0.4,999.6465277777778,1014.6881944444444,90.36805555555556,359.5015686555512,15.902777777777779,397.0779575444401,0.16691454089324745,133.5731707317073,-37.576388888888886,8.886314998493384,16.09336794322142,36.888888888888886,0.4,0.4,1.9946927833552137,-0.25645389695849435,,,,,,,
2019-09-02,13.804861111111112,14.156944444444443,17.356944444444444,17.84861111111111,18.561111111111114,71.42638888888888,8.21066820811173,8.259722222222223,1.4597222222222221,1.4923611111111112,0.2777777777777778,245.53006261508995,246.32135799565629,10.523843194744078,0.0,1007.5541666666666,1022.8874999999999,190.54861111111111,315.5202194048827,34.763888888888886,379.77716384932717,0.17770591121376167,284.475,-64.25694444444444,-0.11397092702785017,12.7385296680465,91.52777777777777,0.0,0.0,1.3286081208230385,0.6046399154310411,,,,,,,
2019-09-03,14.731944444444444,14.755555555555556,16.475694444444443,16.975,18.022916666666667,74.52361111111111,9.351879877570264,10.185416666666667,1.5645833333333334,1.5138888888888888,0.4041666666666667,245.5358199065675,251.05635977159957,14.073446764433593,0.0,1008.0847222222224,1023.3756944444444,87.06944444444444,360.4355707683387,13.618055555555555,386.80362632389426,0.15400781641477856,132.55555555555554,-26.368055555555557,9.06409268545833,14.160455188541608,47.083333333333336,0.0,0.0,1.4241155877196618,0.64793194068384,,,,,,,
2019-09-04,16.699305555555554,17.512500000000003,17.619444444444444,17.478472222222223,17.65,75.70902777777778,10.545698394175341,12.144444444444444,1.8576388888888888,1.7715277777777778,0.5243055555555556,246.5145196070187,249.00581455777476,18.561490882065982,2.7,1001.1583333333333,1016.2375000000001,163.125,367.148132173683,28.46527777777778,401.2800766181274,0.18990564858347594,241.23456790123456,-34.13194444444444,10.445729427334227,16.81340855897872,100.52777777777777,2.8,2.8,1.7037541154276126,0.7403000443575689,,,,,,,
2019-09-05,13.269444444444444,13.177777777777777,16.595833333333335,17.03611111111111,17.588194444444444,80.02708333333334,9.142060584049169,9.793055555555556,2.2319444444444443,2.2319444444444443,0.45694444444444443,272.03447512952613,270.69843058873045,17.771445730455607,0.2,1004.3562499999999,1019.6659722222222,113.55555555555556,330.46276627648854,20.92361111111111,378.3308218320441,0.177868957734509,173.1139240506329,-47.86805555555556,2.9844565153829454,12.588733855710277,44.763888888888886,0.1,0.1,2.230537531392975,-0.07923587655697446,,,,,,,
2019-09-06,12.818055555555555,13.430555555555555,15.467361111111112,15.931249999999999,17.15138888888889,69.89375000000001,7.4444326545841095,6.7555555555555555,1.3125,1.2673611111111112,0.36319444444444443,231.9524842469658,233.46087303553372,12.079129380163751,0.0,1007.71875,1023.1097222222221,198.46527777777777,319.32955745257345,35.958333333333336,377.09344634146237,0.1840533875848184,299.2278481012658,-57.763888888888886,0.5742241501934365,12.217461519899508,104.74305555555556,0.9,0.8,1.0335936328272404,0.8089131301808544,,,,,,,
2019-09-07,14.002083333333333,14.799999999999999,16.436111111111114,16.470138888888886,16.884722222222223,77.23333333333333,9.13982646704239,9.850694444444445,1.4076388888888889,1.401388888888889,0.3361111111111111,251.35606005175663,252.8543659605635,12.597671807546869,0.9,1003.032638888889,1018.2791666666667,139.45138888888889,351.41881613631585,24.65972222222222,386.8840939140936,0.17139468659395005,217.9090909090909,-35.46527777777778,7.34558791156318,14.164080455758244,79.32638888888889,0.9,1.0,1.3337709583568678,0.450002524610861,,,,,,,
2019-09-08,12.320138888888888,13.260416666666666,15.649305555555555,16.006944444444443,16.785416666666666,88.30138888888888,9.501661397568139,10.368749999999999,1.1097222222222223,1.1326388888888888,0.21666666666666667,285.2253958257004,290.07487588528306,6.975401759903531,1.8,1003.2006944444444,1018.5347222222222,90.48611111111111,354.6361970540401,14.57638888888889,380.49730816515125,0.14346214738802535,144.32467532467533,-25.86111111111111,7.996879243306294,13.0073147149658,50.048611111111114,0.9,0.9,1.0707711794592183,-0.2914317960232581,,,,,,,
2019-09-09,12.492361111111112,13.10625,15.664583333333333,15.890277777777776,16.56736111111111,80.7173611111111,8.652161551491014,8.905555555555557,1.1625,1.2027777777777777,0.19027777777777777,241.2087169378225,246.1577156293718,6.398976723832065,0.0,1000.4000000000001,1015.6875,143.72916666666666,333.1334710458525,25.86111111111111,377.80708215696365,0.1837223813696335,220.83333333333334,-44.673611111111114,3.584270717622369,12.42612695562822,73.19444444444444,0.0,0.0,1.0187917076293755,0.5598836544011813,,,,,,,
2019-09-10,11.980555555555556,12.322222222222223,14.797916666666667,15.181944444444444,16.29236111111111,75.00486111111111,7.563241328702413,6.918055555555556,0.9576388888888889,0.9791666666666666,0.14930555555555555,238.76000144588596,251.50735423021777,5.51412767551571,0.1,1002.5527777777778,1017.9055555555556,176.22916666666666,313.15241619264367,32.048611111111114,371.01352730375476,0.18412367755756498,270.28205128205127,-57.861111111111114,-0.68369072231936,10.980554212985247,86.31944444444444,0.1,0.1,0.8187835615041413,0.4966545287450219,,,,,,,
2019-09-11,13.432638888888889,13.864583333333334,14.95138888888889,15.188194444444443,16.054861111111112,81.39583333333333,9.376983991610977,10.118749999999999,1.6083333333333334,1.5083333333333333,0.5048611111111111,228.97782024902085,229.3758116199149,16.5634994193819,2.2,1006.8236111111112,1022.1624999999999,107.69444444444444,357.04766994003813,19.04861111111111,382.5546143844826,0.18179775533752057,166.0897435897436,-25.506944444444443,8.369026346602645,13.351037088804416,63.138888888888886,2.6,2.6,1.2134160206471123,1.0556314091329597,,,,,,,
2019-09-12,17.655555555555555,17.481944444444444,16.611805555555556,16.225,16.018055555555556,81.57083333333334,12.024931274652106,14.208333333333334,1.4659722222222222,1.3916666666666666,0.45625000000000004,249.89552902391029,254.64702685728753,17.569915073295046,0.4,1011.8256944444444,1027.013888888889,132.60416666666666,374.6242147957786,23.229166666666668,403.38115924022304,0.17546749124556021,198.9375,-28.756944444444443,11.876675863827986,17.199936190148872,80.61805555555556,0.1,0.1,1.3766467706208374,0.5039029919204491,,,,,,,
2019-09-13,16.936805555555555,16.202777777777776,16.760416666666668,16.614583333333332,16.231250000000003,80.04930555555556,11.531887574176785,13.397916666666667,1.4972222222222222,1.475,0.37430555555555556,314.69334726154267,313.2526791918019,14.019631167747544,0.2,1016.2534722222222,1031.5472222222222,81.59722222222223,371.6824512933687,13.145833333333334,397.18939573781313,0.15721782427761663,107.79569892473118,-25.506944444444443,11.18534681283466,16.07387170196519,42.94444444444444,0.1,0.1,1.0643470428331034,-1.0530146034735117,,,,,,,
